Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Cisplatin","1005","WSU-DLCL2","1331050","DLBC","blood","B_cell_lymphoma","1.2124791742744219",".87754745936152101","8",".10619530854729865","-1.0903963482996715","GDSC2"
"Cytarabine","1006","DB","906832","DLBC","blood","B_cell_lymphoma","-.43918758068611247",".77961229348114636","2",".063873680474337446","-.87536345050355224","GDSC2"
"Cytarabine","1006","KARPAS-422","907274","DLBC","blood","B_cell_lymphoma","1.7283403769425978",".93598078772367177","2",".026494844040029702",".075793161283935151","GDSC2"
"Cytarabine","1006","TUR","909773","DLBC","blood","B_cell_lymphoma","-1.1338596624238486",".72641257678099502","2",".058048547753352872","-1.1802000922841185","GDSC2"
"Cytarabine","1006","BC-1","910919","DLBC","blood","B_cell_lymphoma",".43237664215744298",".89282703026570875","2",".070062523595020382","-.4929028366796846","GDSC2"
"Cytarabine","1006","SCC-3","910930","DLBC","blood","B_cell_lymphoma","-2.5341851314113164",".53193757691631449","2",".04976870598149459","-1.7946922024292549","GDSC2"
"Cytarabine","1006","A4-Fuk","910934","DLBC","blood","B_cell_lymphoma","-1.2789718420419571",".69631103325006594","2",".034110863094800589","-1.2438783524001529","GDSC2"
"Cytarabine","1006","A3-KAW","910935","DLBC","blood","B_cell_lymphoma","-1.7202981305997616",".6460017123696038","2",".036020476440171069","-1.4375415602217581","GDSC2"
"Cytarabine","1006","GRANTA-519","1303897","DLBC","blood","B_cell_lymphoma","-1.9523516868968362",".6004182517546488","2",".084257442951229083","-1.5393715152098499","GDSC2"
"Cytarabine","1006","JSC-1","1327769","DLBC","blood","B_cell_lymphoma","-1.904939603661481",".61589381636351992","2",".077856749006962905","-1.5185661012408127","GDSC2"
"Cytarabine","1006","KARPAS-1106P","1327773","DLBC","blood","B_cell_lymphoma","-.34772749365321692",".81077101820130681","2",".058245015527397505","-.83522885099823907","GDSC2"
"Cytarabine","1006","RC-K8","1330995","DLBC","blood","B_cell_lymphoma","1.2984136960486059",".90801398736628758","2",".049165672503646125","-.11286766021870377","GDSC2"
"Cytarabine","1006","SLVL","1331032","DLBC","blood","B_cell_lymphoma","2.5721200512271762",".96928030358321926","2",".037767620864115385",".44606133395640324","GDSC2"
"Cytarabine","1006","SU-DHL-10","1331033","DLBC","blood","B_cell_lymphoma","-.3734117500785365",".82849410758996134","2",".29575828798996839","-.84649964002396139","GDSC2"
"Cytarabine","1006","SU-DHL-5","1331036","DLBC","blood","B_cell_lymphoma","-2.3966231618654414",".55254562792429329","2",".016764972552696236","-1.7343271324408562","GDSC2"
"Cytarabine","1006","SU-DHL-6","1331037","DLBC","blood","B_cell_lymphoma","-.15634646762486967",".85061576282449203","2",".12568758074478092","-.75124685314817152","GDSC2"
"Cytarabine","1006","SU-DHL-8","1331038","DLBC","blood","B_cell_lymphoma","-2.3959169779401552",".55229571162421243","2",".089224272667854695","-1.7340172441613027","GDSC2"
"Cytarabine","1006","TK","1331045","DLBC","blood","B_cell_lymphoma","-2.2347964692408908",".57373736925533758","2",".075054191169526635","-1.6633141943554186","GDSC2"
"Cytarabine","1006","VAL","1331048","DLBC","blood","B_cell_lymphoma","-4.3987996276382049",".29182815154313924","2",".083150265503777507","-2.6129240505025155","GDSC2"
"Cytarabine","1006","WSU-DLCL2","1331050","DLBC","blood","B_cell_lymphoma","-.81869758958672356",".7649462574100484","2",".17647048546830693","-1.0419003816351127","GDSC2"
"Docetaxel","1007","CRO-AP2","906807","DLBC","blood","B_cell_lymphoma","-6.0623184431323827",".74239367232937858",".012500000000000001",".06869305170807033","-1.086988748775602","GDSC2"
"Docetaxel","1007","DB","906832","DLBC","blood","B_cell_lymphoma","-5.6820481313280728",".76205740571162639",".012500000000000001",".11310345276156183","-.84468354890185116","GDSC2"
"Docetaxel","1007","DOHH-2","906842","DLBC","blood","B_cell_lymphoma","-6.1400033412894892",".74523818694592936",".012500000000000001",".079397667125862562","-1.1364889442702648","GDSC2"
"Docetaxel","1007","HT","907063","DLBC","blood","B_cell_lymphoma","-5.7089092492563243",".73657261664736851",".012500000000000001",".10317509284730693","-.86179923831119609","GDSC2"
"Docetaxel","1007","KARPAS-422","907274","DLBC","blood","B_cell_lymphoma","-3.6845260275482126",".9198508662565158",".012500000000000001",".071457529406950313",".42812155205930436","GDSC2"
"Docetaxel","1007","MC116","907799","DLBC","blood","B_cell_lymphoma","-6.4055388511975142",".7039163073641157",".012500000000000001",".082963937756271838","-1.3056860464488662","GDSC2"
"Docetaxel","1007","TUR","909773","DLBC","blood","B_cell_lymphoma","-6.0592949876520894",".74614110215323581",".012500000000000001",".097510708844922842","-1.085062227136335","GDSC2"
"Docetaxel","1007","RL","910861","DLBC","blood","B_cell_lymphoma","-6.1993842594044102",".71116138486663494",".012500000000000001",".10480130923083089","-1.1743259901449561","GDSC2"
"Docetaxel","1007","BC-3","910918","DLBC","blood","B_cell_lymphoma","-5.1557269124934715",".86292512208899264",".012500000000000001",".044661165561356457","-.50931587972355752","GDSC2"
"Docetaxel","1007","BC-1","910919","DLBC","blood","B_cell_lymphoma","-5.9723446306059467",".75146805208959755",".012500000000000001",".13793206422830873","-1.0296581553769766","GDSC2"
"Docetaxel","1007","SCC-3","910930","DLBC","blood","B_cell_lymphoma","-6.0846811556744695",".74117105457227717",".012500000000000001",".072985683570003942","-1.1012380902677616","GDSC2"
"Docetaxel","1007","A4-Fuk","910934","DLBC","blood","B_cell_lymphoma","-5.9242483459672535",".74887484769824064",".012500000000000001",".10721301201631767","-.99901158765711562","GDSC2"
"Docetaxel","1007","A3-KAW","910935","DLBC","blood","B_cell_lymphoma","-5.8712593247402127",".76904305048933697",".012500000000000001",".11874939936221536","-.96524740733335723","GDSC2"
"Docetaxel","1007","CTB-1","949088","DLBC","blood","B_cell_lymphoma","-5.6605307641838776",".74381481633059088",".012500000000000001",".15951692479163052","-.83097285473303006","GDSC2"
"Docetaxel","1007","Farage","1297449","DLBC","blood","B_cell_lymphoma","-7.2054300550688826",".58844431676932785",".012500000000000001",".088533965468359829","-1.8153703210683569","GDSC2"
"Docetaxel","1007","GRANTA-519","1303897","DLBC","blood","B_cell_lymphoma","-4.2275008958286513",".87982408484139973",".012500000000000001",".080006447231626934",".082142310711586244","GDSC2"
"Docetaxel","1007","JEKO-1","1327765","DLBC","blood","B_cell_lymphoma","-6.290251134720851",".70856884988007618",".012500000000000001",".085075759449729976","-1.2322256360073545","GDSC2"
"Docetaxel","1007","JM1","1327768","DLBC","blood","B_cell_lymphoma","-4.2369393865985385",".94934848902703173",".012500000000000001",".087910630190553424",".0761281799169609","GDSC2"
"Docetaxel","1007","JSC-1","1327769","DLBC","blood","B_cell_lymphoma","-5.0478980715518302",".84556829895012364",".012500000000000001",".11143271986690718","-.4406082050892971","GDSC2"
"Docetaxel","1007","KARPAS-1106P","1327773","DLBC","blood","B_cell_lymphoma","-4.4766668509414727",".8988128861309993",".012500000000000001",".11213619291254694","-.076624242135734918","GDSC2"
"Docetaxel","1007","NU-DUL-1","1330982","DLBC","blood","B_cell_lymphoma","-6.423833312505125",".69482491121282952",".012500000000000001",".064510374093176698","-1.3173431308073327","GDSC2"
"Docetaxel","1007","OCI-LY-19","1330984","DLBC","blood","B_cell_lymphoma","-7.0675084995587385",".60640327160964103",".012500000000000001",".071612473562865625","-1.7274878095038415","GDSC2"
"Docetaxel","1007","RC-K8","1330995","DLBC","blood","B_cell_lymphoma","-4.0723345052413427",".89046864574400064",".012500000000000001",".07943045867882588",".18101309319931927","GDSC2"
"Docetaxel","1007","SLVL","1331032","DLBC","blood","B_cell_lymphoma","-5.0341355414488751",".82993264306652681",".012500000000000001",".081949803597650139","-.43183883103129506","GDSC2"
"Docetaxel","1007","SU-DHL-10","1331033","DLBC","blood","B_cell_lymphoma","-6.0242249567696033",".75478276829332436",".012500000000000001",".095784587995875706","-1.0627158840777888","GDSC2"
"Docetaxel","1007","SU-DHL-16","1331034","DLBC","blood","B_cell_lymphoma","-6.7320955551575787",".65767867115189216",".012500000000000001",".11777710928236618","-1.5137653652042988","GDSC2"
"Docetaxel","1007","SU-DHL-4","1331035","DLBC","blood","B_cell_lymphoma","-5.4415151260452062",".82097935795343902",".012500000000000001",".11856549242251337","-.69141784260792505","GDSC2"
"Docetaxel","1007","SU-DHL-5","1331036","DLBC","blood","B_cell_lymphoma","-6.7124299983093687",".661865811069557",".012500000000000001",".12339552203692597","-1.501234629738454","GDSC2"
"Docetaxel","1007","SU-DHL-6","1331037","DLBC","blood","B_cell_lymphoma","-6.1173212561243719",".74065076442214306",".012500000000000001",".081314229125021634","-1.1220361010982334","GDSC2"
"Docetaxel","1007","SU-DHL-8","1331038","DLBC","blood","B_cell_lymphoma","-3.861584452707818",".96642701851138113",".012500000000000001",".10244942095300585",".3153013403155393","GDSC2"
"Docetaxel","1007","TK","1331045","DLBC","blood","B_cell_lymphoma","-3.6683855828984182",".95851048438216657",".012500000000000001",".063118634599708595",".43840611423919978","GDSC2"
"Docetaxel","1007","VAL","1331048","DLBC","blood","B_cell_lymphoma","-5.0655357226908748",".82897658397587781",".012500000000000001",".10873409545410252","-.45184677526394951","GDSC2"
"Docetaxel","1007","WSU-DLCL2","1331050","DLBC","blood","B_cell_lymphoma","-6.5885115861215446",".67375063883780062",".012500000000000001",".1342821169662588","-1.4222748090500059","GDSC2"
"Docetaxel","1007","OCI-LY7","1659819","DLBC","blood","B_cell_lymphoma","-6.5080272554680585",".68705417939984792",".012500000000000001",".13778889823736484","-1.3709908375688618","GDSC2"
"Methotrexate","1008","CRO-AP2","906807","DLBC","blood","B_cell_lymphoma","2.1182219854001363",".99124256016969969","1",".09569335179557624",".70880005469186258","GDSC2"
"Methotrexate","1008","DB","906832","DLBC","blood","B_cell_lymphoma","-2.9017761364050907",".57094605431241807","1",".11776575215118194","-1.3060014535275726","GDSC2"
"Methotrexate","1008","DOHH-2","906842","DLBC","blood","B_cell_lymphoma","1.0440266307184021",".99792517858706387","1",".097504513969616874",".27766634343924262","GDSC2"
"Methotrexate","1008","HT","907063","DLBC","blood","B_cell_lymphoma","3.0672640586964088",".97281389402454443","1",".055119368558213103","1.0897028666541533","GDSC2"
"Methotrexate","1008","KARPAS-422","907274","DLBC","blood","B_cell_lymphoma","-.3948712419578489",".84607300669904029","1",".097829008749694885","-.29984255869542836","GDSC2"
"Methotrexate","1008","MC116","907799","DLBC","blood","B_cell_lymphoma","1.4527272493844172",".99217017262527152","1",".099687558513717064",".44170039343653322","GDSC2"
"Methotrexate","1008","TUR","909773","DLBC","blood","B_cell_lymphoma","-3.4675940829059275",".4980167447883469","1",".16380196438203606","-1.5330953337096538","GDSC2"
"Methotrexate","1008","RL","910861","DLBC","blood","B_cell_lymphoma","1.6869492777495907",".96972137387326918","1",".031928293088786829",".53570658319157327","GDSC2"
"Methotrexate","1008","BC-3","910918","DLBC","blood","B_cell_lymphoma","1.6042847149163217",".99230429102284279","1",".038142097016136377",".50252874490726784","GDSC2"
"Methotrexate","1008","SCC-3","910930","DLBC","blood","B_cell_lymphoma","-3.8663480569679387",".44179268409245398","1",".075007415705494171","-1.6931372478408333","GDSC2"
"Methotrexate","1008","A3-KAW","910935","DLBC","blood","B_cell_lymphoma","-3.9492729633356776",".43002029091516136","1",".10096855950367319","-1.7264195763128194","GDSC2"
"Methotrexate","1008","CTB-1","949088","DLBC","blood","B_cell_lymphoma","3.0924886590074698",".97494889013316266","1",".046020301612668145","1.0998268869262331","GDSC2"
"Methotrexate","1008","Farage","1297449","DLBC","blood","B_cell_lymphoma",".65661967088635231",".95679923858733451","1",".027416579780047082",".12217861057060374","GDSC2"
"Methotrexate","1008","GRANTA-519","1303897","DLBC","blood","B_cell_lymphoma","-2.5050345282430757",".61751357461167389","1",".056079730953959982","-1.1467672125771442","GDSC2"
"Methotrexate","1008","JEKO-1","1327765","DLBC","blood","B_cell_lymphoma",".76386716446584813",".95187874494502822","1",".13788650229870889",".16522293181808212","GDSC2"
"Methotrexate","1008","JM1","1327768","DLBC","blood","B_cell_lymphoma",".91020800593508966",".9825581139276055","1",".05950031591345234",".22395756496975744","GDSC2"
"Methotrexate","1008","JSC-1","1327769","DLBC","blood","B_cell_lymphoma","-3.8987492266639574",".43937650601197809","1",".15314318892732157","-1.7061416203500677","GDSC2"
"Methotrexate","1008","KARPAS-1106P","1327773","DLBC","blood","B_cell_lymphoma","-1.3425125382173984",".77680345367107828","1",".11375428077021785","-.6801831617449291","GDSC2"
"Methotrexate","1008","NU-DUL-1","1330982","DLBC","blood","B_cell_lymphoma","2.1342552799434755",".99109111106863712","1",".028805112117316786",".71523509814084885","GDSC2"
"Methotrexate","1008","OCI-LY-19","1330984","DLBC","blood","B_cell_lymphoma","1.6778407597702956",".98245698938853088","1",".062800171123060494",".53205083366397621","GDSC2"
"Methotrexate","1008","RC-K8","1330995","DLBC","blood","B_cell_lymphoma","-2.4673144873254089",".62226228039800846","1",".1078907451681988","-1.1316280843370554","GDSC2"
"Methotrexate","1008","SLVL","1331032","DLBC","blood","B_cell_lymphoma","-4.2735229016246601",".39384449391481635","1",".12615498293041477","-1.8565589207613726","GDSC2"
"Methotrexate","1008","SU-DHL-10","1331033","DLBC","blood","B_cell_lymphoma","-3.7863493719941177",".45234790826691096","1",".14159736245684915","-1.6610293730508594","GDSC2"
"Methotrexate","1008","SU-DHL-16","1331034","DLBC","blood","B_cell_lymphoma","1.9042627904147951",".99567977150967735","1",".02251239757441718",".62292645508205624","GDSC2"
"Methotrexate","1008","SU-DHL-4","1331035","DLBC","blood","B_cell_lymphoma","2.0685963468113013",".99237613142453107","1",".02529098837259814",".68888255491415706","GDSC2"
"Methotrexate","1008","SU-DHL-5","1331036","DLBC","blood","B_cell_lymphoma","-3.9039723653827982",".4349672649641364","1",".12293122090117037","-1.7082379533591674","GDSC2"
"Methotrexate","1008","SU-DHL-8","1331038","DLBC","blood","B_cell_lymphoma","-3.2682487582703228",".52660071238702377","1",".10789474393731249","-1.4530870845057924","GDSC2"
"Methotrexate","1008","TK","1331045","DLBC","blood","B_cell_lymphoma","-2.4219097586634191",".64383782993764682","1",".13634802194764117","-1.1134046679992873","GDSC2"
"Methotrexate","1008","VAL","1331048","DLBC","blood","B_cell_lymphoma","2.1482979330242622",".9763824413956006","1",".21203809340328422",".72087118762137581","GDSC2"
"Tretinoin","1009","CRO-AP2","906807","DLBC","blood","B_cell_lymphoma","3.8919802628315558",".98386693080805454","10",".061511088677953386","-.86509114091955774","GDSC2"
"Tretinoin","1009","DOHH-2","906842","DLBC","blood","B_cell_lymphoma","3.2680496747155852",".99738939987965236","10",".2594698440254839","-1.4733254050872078","GDSC2"
"Tretinoin","1009","HT","907063","DLBC","blood","B_cell_lymphoma","5.0734316471314784",".9673864769587881","10",".035161789374223491",".2866382774912416","GDSC2"
"Tretinoin","1009","MC116","907799","DLBC","blood","B_cell_lymphoma","3.8600771603532325",".99335956941074688","10",".035372016097766489","-.89619165182600713","GDSC2"
"Tretinoin","1009","RL","910861","DLBC","blood","B_cell_lymphoma","3.4530827967709001",".95309435242842866","10",".10464396231664681","-1.2929471915750359","GDSC2"
"Tretinoin","1009","BC-3","910918","DLBC","blood","B_cell_lymphoma","3.4627926790283858",".98534036986519469","10",".073686950618227456","-1.2834815824150974","GDSC2"
"Tretinoin","1009","CTB-1","949088","DLBC","blood","B_cell_lymphoma","5.1160182039483395",".97012582285103288","10",".074595347845184637",".32815347732645594","GDSC2"
"Tretinoin","1009","Farage","1297449","DLBC","blood","B_cell_lymphoma","4.1018162232518041",".98788542440051175","10",".12031809954077233","-.66053405810764854","GDSC2"
"Tretinoin","1009","JEKO-1","1327765","DLBC","blood","B_cell_lymphoma","4.2894012341644867",".98548542118001059","10",".071399040206052394","-.4776681540238612","GDSC2"
"Tretinoin","1009","JM1","1327768","DLBC","blood","B_cell_lymphoma","4.0516253497436852",".99532273820030226","10",".026320624016565923","-.70946227159422326","GDSC2"
"Tretinoin","1009","NU-DUL-1","1330982","DLBC","blood","B_cell_lymphoma","3.4013932391685913",".97153316806005763","10",".08874490381333501","-1.3433363865146948","GDSC2"
"Tretinoin","1009","OCI-LY-19","1330984","DLBC","blood","B_cell_lymphoma","3.2533057404040084",".96292444457910076","10",".097680980054971084","-1.4876984238295925","GDSC2"
"Tretinoin","1009","SU-DHL-16","1331034","DLBC","blood","B_cell_lymphoma","3.6139410223063817",".98930510131100646","10",".23199933996915845","-1.1361357027532986","GDSC2"
"Tretinoin","1009","SU-DHL-4","1331035","DLBC","blood","B_cell_lymphoma","4.1768733142770813",".99030405956535039","10",".060241437745161448","-.58736519060881964","GDSC2"
"Tretinoin","1009","OCI-LY7","1659819","DLBC","blood","B_cell_lymphoma","-.78670884744872904",".55184776157933446","10",".1147566362601916","-5.4260777033087466","GDSC2"
"Gefitinib","1010","CRO-AP2","906807","DLBC","blood","B_cell_lymphoma","2.6747199138663218",".98972747161510599","2",".067715365004098471","-.3898845195699544","GDSC2"
"Gefitinib","1010","DB","906832","DLBC","blood","B_cell_lymphoma","-.050744062085298108",".81769813132251556","2",".20047067588553602","-2.6375087051034436","GDSC2"
