Gene_symbol,CRO-AP2,DB,GRANTA-519,JM1,JSC-1,KARPAS-1106P,KARPAS-422,NU-DUL-1,OCI-LY7,RC-K8,SCC-3,SLVL,SU-DHL-4,SU-DHL-8,TK,TUR,WSU-DLCL2
Null,Sensitive,Resistive,Resistive,Sensitive,Resistive,Sensitive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Sensitive
ABCF1,116.11,121.18,138.3,183.66,158.21,114.29,125.37,79.24,96.89,104.11,91.01,67.82,58.13,88.81,147.13,104.83,46.22
ABCF2,125.16,113.49,69.58,119.82,156.7,84.54,106.08,90.26,37.69,109.34,36.68,69.03,50.79,91.67,51.52,39.55,43.19
ABCF2P1,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0
ABCF2P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF3,48.99,23.85,38.53,40.36,32.32,32.03,84.19,14.89,22.44,39.2,20.9,28.63,25.05,31.81,33.33,23.83,23.34
ABCG1,3.8,0.42,2.79,6.5,67.41,1.11,0.04,2.06,7.7,0.56,0.44,3.45,21.18,1.41,11.44,0.38,4.05
ABCG2,0.07,0.08,0.03,1.82,0.0,0.04,0.0,0.07,0.0,11.49,1.91,0.0,0.03,0.44,0.75,0.0,0.0
ABCG4,0.0,0.19,0.17,0.04,0.0,0.11,0.0,0.0,0.0,0.03,0.13,0.03,0.0,0.0,0.0,0.03,0.0
ABCG5,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG8,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
ABHD1,0.33,1.18,0.41,0.34,0.74,0.64,0.44,1.22,0.13,0.07,0.94,0.06,0.43,0.13,0.07,2.32,0.0
ABHD2,25.6,28.87,18.23,17.4,18.47,18.02,39.9,24.24,10.1,14.76,12.56,17.11,16.23,19.78,41.32,56.42,17.68
ABHD3,14.1,84.93,27.14,37.01,30.95,39.5,62.35,38.71,121.25,36.88,7.54,22.61,59.54,31.91,24.63,8.87,36.87
ABHD4,8.82,1.52,6.19,3.5,16.46,34.89,2.48,5.23,11.38,11.88,50.51,41.77,16.69,9.67,7.42,36.81,30.45
ABHD5,12.12,2.81,1.9,8.7,10.44,8.29,2.92,8.44,4.38,14.63,16.31,7.79,2.26,2.99,8.17,13.26,6.19
ABHD6,13.31,17.27,12.14,1.94,29.57,9.87,15.46,9.52,5.02,2.32,5.02,58.94,15.87,2.79,7.35,12.12,16.2
ABHD8,1.82,17.0,8.57,2.28,6.19,25.31,6.23,7.15,38.07,21.98,12.09,27.02,37.08,1.18,51.93,12.19,79.41
ABHD10,43.11,66.83,49.48,81.17,38.24,39.11,47.29,30.94,56.36,29.69,26.8,40.52,22.46,60.13,68.54,44.02,26.04
ABHD11,27.25,30.85,13.02,14.14,18.47,13.69,28.64,14.23,15.76,18.97,8.21,7.42,22.43,28.69,12.64,4.88,8.43
ABHD11-AS1,7.27,1.94,0.17,1.22,20.37,4.83,3.91,2.44,4.48,0.13,2.51,0.59,3.87,1.01,0.0,1.11,3.85
ABHD12,65.24,31.45,39.17,50.62,53.76,54.12,63.66,25.53,9.49,27.11,11.22,98.16,27.54,65.4,30.48,169.42,22.42
ABHD12B,0.17,0.08,0.1,5.97,0.1,0.07,0.04,0.0,8.37,0.07,0.07,0.03,0.13,0.03,0.15,0.1,0.07
ABHD13,16.91,13.08,22.55,27.78,21.81,23.06,15.98,15.07,5.91,19.4,9.04,21.18,14.72,12.13,33.97,22.58,12.38
