Gene_symbol,A3-KAW,A4-Fuk,BC-1,DB,DOHH-2,Farage,GRANTA-519,JSC-1,KARPAS-1106P,KARPAS-422,RC-K8,SCC-3,SLVL,SU-DHL-10,SU-DHL-5,SU-DHL-6,SU-DHL-8,TK,TUR,VAL
Null,Sensitive,Resistive,Resistive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Resistive,Resistive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Resistive
,,,,,,,,,,,,,,,,,,,,
ABHD11,29.13,68.59,6.1,30.85,24.24,15.34,13.02,18.47,13.69,28.64,18.97,8.21,7.42,34.21,20.93,26.48,28.69,12.64,4.88,5.1
ABHD11-AS1,0.61,2.49,17.75,1.94,1.99,4.99,0.17,20.37,4.83,3.91,0.13,2.51,0.59,1.42,0.71,3.44,1.01,0.0,1.11,3.28
ABHD12,32.64,58.72,45.76,31.45,21.77,26.12,39.17,53.76,54.12,63.66,27.11,11.22,98.16,36.37,21.49,11.06,65.4,30.48,169.42,30.29
ABHD12B,0.27,0.88,0.07,0.08,0.03,0.0,0.1,0.1,0.07,0.04,0.07,0.07,0.03,0.0,0.07,0.0,0.03,0.15,0.1,0.22
ABHD13,10.19,13.41,31.36,13.08,12.3,14.97,22.55,21.81,23.06,15.98,19.4,9.04,21.18,11.15,15.55,15.05,12.13,33.97,22.58,24.06
ABHD14A,39.4,36.01,51.35,8.63,5.51,4.37,2.55,19.74,6.4,24.12,3.84,5.86,2.55,11.86,9.9,11.06,4.74,6.15,12.85,9.51
ABHD14A-ACY1,1.32,1.72,0.72,0.53,0.93,0.36,0.44,0.43,0.25,3.28,0.17,0.37,0.09,0.5,0.6,0.73,0.3,0.04,0.59,0.84
ABHD14B,107.62,82.7,88.92,41.46,69.36,48.71,41.25,30.44,79.0,124.61,34.73,67.96,57.91,38.4,93.43,74.83,20.36,37.05,149.09,57.49
ABHD15,19.71,16.15,45.68,8.14,13.9,11.8,5.03,60.29,17.41,38.46,8.08,8.21,13.6,8.06,17.75,49.85,24.02,37.05,16.35,27.92
ABHD15-AS1,0.61,0.0,1.23,0.0,0.0,0.4,0.0,0.8,1.36,0.0,1.32,0.87,0.34,0.0,0.0,0.15,0.0,1.09,0.69,1.02
ABHD16A,6.25,8.32,5.63,5.36,6.37,3.72,3.6,6.86,4.5,13.14,1.89,4.72,2.64,4.23,4.28,13.04,6.75,3.49,7.45,3.39
ABHD16B,0.0,0.0,0.51,0.0,0.0,0.22,0.0,0.67,0.89,0.0,0.3,0.9,0.34,0.21,0.35,0.48,0.0,0.34,0.17,0.36
ABHD17A,47.19,40.51,46.88,33.17,33.49,51.0,41.08,64.33,38.71,43.89,26.52,27.74,26.98,55.27,60.06,40.91,22.54,39.52,38.27,40.02
ABHD17AP1,0.54,1.47,0.43,0.34,0.35,0.36,0.51,0.37,0.25,0.84,0.23,0.13,0.16,0.11,0.11,0.07,0.44,0.34,0.1,0.22
ABHD17AP3,0.0,0.14,0.07,0.04,0.22,0.0,0.07,0.03,0.07,0.0,0.1,0.03,0.0,0.04,0.04,0.0,0.03,0.15,0.03,0.22
ABHD17AP4,0.0,0.18,0.0,1.03,2.02,0.04,4.56,0.07,0.04,0.0,0.0,0.0,0.03,1.85,1.2,0.22,0.07,0.49,0.03,0.29
ABHD17AP5,0.07,0.0,0.11,3.42,4.45,0.15,6.9,0.17,0.04,0.0,0.07,0.07,0.03,5.19,4.45,0.44,0.94,1.72,0.1,1.06
ABHD17AP6,0.78,0.0,0.14,0.19,0.26,0.22,0.27,0.4,0.14,0.08,0.1,0.1,0.12,0.11,0.14,0.11,0.0,0.07,0.14,0.04
ABHD17AP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP8,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP9,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17B,15.87,19.45,38.83,43.97,46.97,20.04,27.61,33.39,18.23,11.34,21.92,18.59,17.64,18.97,32.31,16.63,34.33,52.08,34.77,31.79
ABHD17C,15.43,0.67,56.73,1.33,1.99,0.33,9.66,14.22,9.22,1.64,8.94,136.63,1.49,0.28,11.91,2.09,9.24,12.82,66.01,2.44
ABHD18,13.77,11.48,18.98,14.99,9.19,19.56,12.92,15.05,12.12,27.28,16.49,11.49,8.57,18.61,17.0,12.82,13.37,14.96,20.16,24.06
ABI1,28.02,41.49,67.84,175.34,119.12,69.62,138.4,39.81,167.34,99.13,46.41,42.57,79.84,116.5,93.43,186.19,74.54,83.73,57.49,121.46
ABI1P1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI2,6.31,9.79,4.11,11.87,9.16,6.27,5.24,7.56,4.93,17.81,6.82,11.66,10.34,2.91,20.29,6.96,12.8,15.79,4.64,5.21
ABI3,0.07,1.51,0.07,93.72,29.4,108.92,14.01,2.01,24.59,63.9,0.03,0.03,66.7,64.18,42.95,38.9,1.38,0.94,4.16,14.0
ABI3BP,0.95,0.77,2.24,0.04,0.13,0.04,0.2,0.1,0.04,0.08,0.0,0.1,0.06,0.0,0.04,0.0,0.13,0.04,0.0,0.0
ABL1,14.95,42.26,87.4,100.03,37.02,17.63,48.53,32.08,17.52,73.61,46.35,37.88,29.5,44.22,72.68,20.07,27.58,84.03,41.59,25.7
ABL2,17.59,12.21,24.39,29.32,7.17,9.29,11.53,14.89,8.69,18.33,13.21,50.65,9.1,9.66,11.49,8.1,11.69,34.5,16.8,21.91
ABLIM1,0.81,8.7,49.18,46.74,83.22,34.46,144.53,6.29,139.09,121.34,87.83,9.98,3.82,31.15,104.25,40.29,22.14,11.66,19.26,31.2
ABLIM2,0.03,0.04,0.04,0.15,3.68,0.07,0.17,0.1,1.86,0.04,0.0,0.27,0.03,0.0,0.0,0.18,28.65,23.1,2.08,21.51
ABLIM3,0.03,0.14,0.0,0.0,0.22,0.0,0.03,0.0,0.0,0.04,0.0,0.94,0.06,0.0,0.0,0.0,0.03,0.0,0.03,0.0
ABO,0.17,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.04,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.04
ABR,6.79,15.27,9.17,62.26,87.64,51.87,19.89,16.86,31.67,120.54,25.72,11.82,35.15,36.87,25.28,90.29,3.02,1.39,24.8,91.31
ABRA,0.0,0.14,0.0,0.04,0.03,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRACL,70.39,87.08,29.45,119.35,109.74,261.67,186.66,58.11,142.85,401.91,241.66,78.98,66.76,129.58,133.27,47.11,210.08,110.61,160.07,74.25
